0,1,8,87,87.1,87.2,246,260,301,312,470,474,490,508,508.1,508.2,557,596,633,633.1,633.2,633.3,634,634.1,702.1,702.2,702.3,702.4,702.5,702.6,702.7,702.8,702.9,702.1,702.11,702.12,702.13,702.14,702.15,702.16,702.17,702.18,702.19,$<icat1:3>,41,551,600,600.1,600.2,600.3,600.4,600.5,600.6,600.7,600.8,600.9,600.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am     a,CKEY8212042,181023n                      000 0 eng u,C1645/1,,,Frank Sinatra appraisal by Dave Gelly (part 1),24/08/1989,29 min. 35 sec.,a,BBC Radio 2 1989-08-24 22:30-23:00,Frank Sinatra,Stan Britt collection,The first of a two-part appraisal of Frank Sinatra by Dave Gelly,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Radio programmes,,,,Category: Popular music. Jazz,,"Gelly, Dave, 1938- (speaker, male)","Sinatra, Frank, 1915-1998 (singer, male)","Page, Barbara (producer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8212048,181023n                      000 0 eng u,C1645/1,,,Frank Sinatra appraisal by Dave Gelly (part 2),24/08/1989,29 min. 43 sec.,a,BBC Radio 2 1989-08-31 22:30-23:00,Frank Sinatra,Stan Britt collection,The conclusion of a two-part appraisal of Frank Sinatra by Dave Gelly,,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Radio programmes,,,,Category: Popular music. Jazz,,"Gelly, Dave, 1938- (speaker, male)","Sinatra, Frank, 1915-1998 (singer, male)","Page, Barbara (producer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8212053,181023n                      000 0 eng u,C1645/2,,,Jeru... A personal tribute to Gerry Mulligan (1927-1996),24/08/1989,1 hr. 26 min. 30 sec.,a,,,Stan Britt collection,"A selection of jazz performances, probably compiled by Stan Britt, all dedicated to or featuring saxophonist Gerry Mulligan.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Mulligan, Gerry, 1927-1996 (saxophone)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8212200,181023n                      000 0 eng u,C1645/3,,,Woody Herman interviewed by Stan Britt [1st interview?],not after 2014,14 min. 39 sec.,a,,,Stan Britt collection,"American jazz musician, singer and bandleader Wooder Herman talks to Stan Britt after having performed that night in London. They discuss the career of Frank Sinatra and Herman's relationship with him. Britt also asks Herman questions about his current projects and future recording plans.","This appears to be the end of an interview, possibly Britt's first interview with Herman. No date or precise location are announced. Two other interviews with him appear later on the tape.",,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Herman, Woody, 1913-1987 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"London, England, UK","Sinatra, Frank, 1915-1998","Herman, Woody, 1913-1987",,,,,,,,,
am     a,CKEY8212207,181023n                      000 0 eng u,C1645/3,,,[Stan Getz?] interviewed by Stan Britt,not after 2014,1 min. 12 sec.,a,,,Stan Britt collection,"In this short interview fragment (the rest of the interview may have been taped over), the interviewee (believed to be Stan Getz) is asked about his opinions on electric saxophones.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Getz, Stan, 1927-1991 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,,,,,,,,,,,
am     a,CKEY8212224,181023n                      000 0 eng u,C1645/3,,,Woody Herman interviewed by Stan Britt [2nd interview?],not after 2014,31 min. 51 sec.,a,,,Stan Britt collection,"American jazz musician, singer and bandleader Wooder Herman talks to Stan Britt about his career and influences, how he put his band together, his love of the (then new) music of Jimi Hendrix, and his hobbies (including driving cars) and personal life.",No date or precise location are given for this recording. It is also unclear how many times Britt has interviewed Herman prior to this.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Herman, Woody, 1913-1987 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"London, England, UK","Herman, Woody, 1913-1987","Hendrix, Jimi, 1942-1970",,,,,,,,,
am     a,CKEY8212257,181023n                      000 0 eng u,C1645/3,,,Woody Herman interviewed by Stan Britt [3rd interview?],not after 2014,17 min. 46 sec.,a,,,Stan Britt collection,"This is possibly the third interview between Stan Britt and Woody Herman. Herman talks to Brit about his current and future plans, the pleasure of being among the first jazz musicians to perform for the Zulu society, and his experiences working with Stan Getz.",No date or location are given for this recording.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Herman, Woody, 1913-1987 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Herman, Woody, 1913-1987","Getz, Stan, 1927-1991",,,,,,,,,
am     a,CKEY8212262,181023n                      000 0 eng u,C1645/3,,,Art Pepper interviewed by Stan Britt,not after 2014,25 min. 03 sec.,a,,,Stan Britt collection,"Art Pepper talks to Stan Britt ahead of a gig the following day in which he was stepping in for Phil Woods. Art is accompanied by a female speaker, possibly his wife Laurie. He discusses the challenges of working with new rhythm sections, some of which had not taken the time to listen to his music. He talks about his work and collaborations on various albums including 'Living Legend' and 'Art Pepper +11'. Britt also asks Pepper about how he came to pick up the clarinet and why he later stopped playing.",No date or location are given for this recording.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Pepper, Art, 1925-1982 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Pepper, Art, 1925-1982",,,,,,,,,,
am     a,CKEY8212362,181023n                      000 0 eng u,C1645/4,,,[Jazz Christmas song selection],not after 2014,1 hr 37 min. 17 sec.,a,,,Stan Britt collection,"A selection of jazz arrangements of popular Christmas songs. It is unclear who the musicians are, and if this is a dubbing of a compilation album or multiple dubbings compiled by Stan Britt.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,,,,Category: Popular music. Jazz,,"Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8212289,181023n                      000 0 eng u,C1645/5,,,Jazz in stereo,not after 2014,1 hr 17 min. 22 sec.,a,LBC,Jazz in stereo,Stan Britt collection,"Andrew Carnegie plays a selection of jazz recordings and talks to Stan Britt and singer Monty Babson between tracks. Babson and Britt are asked about their opinions regarding the tracks and artists played, and in particular they are interviewed about the career and influence of Frank Sinatra.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Jazz,Radio programmes,,,Category: Popular music. Jazz,,"Carnegie, Andrew (London Broadcasting)","Britt, Stan, 1935-2014 (speaker, male / sound recordist)","Babson, Monty (speaker, male)",,,,,,,,,,,,,,,,,POP,,,,,,,,,,,,,
am     a,CKEY8212125,181023n                      000 0 eng u,C1645/6,,,Dave Cavanaugh interviewed by Stan Britt,not after 2014,55 min. 41 sec.,a,,,Stan Britt collection,"Cavanaugh talks to Stan Britt about his career in the record business, including his work as an A&R man, producer and arranger with Capitol records as well as a composer and musician. He also discusses his relationship with other musicians including Peggy Lee and Nat ""King"" Cole.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Cavanaugh, Dave, 1919-1981 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Lee, Peggy, 1920-2002","Cole, Nat ""King"", 1917-1965","Cavanaugh, Dave, 1919-1981",,,,,,,,
am     a,CKEY8212137,181023n                      000 0 eng u,C1645/6,,,Loonis McGlohon interviewed by Stan Britt,24/11/1987,47 min. 19 sec.,a,,,Stan Britt collection,"American songwriter Loonis McGlohon talks to Stan Britt about his career in music. He discusses his performing trio and its various members through the years, as well as his working and personal relationships with other artists, composers and singers including Dick Haymes, Maxine Sullivan and Alec Wilder. He reminisces about his time working on scores for a version of the Wizard of Oz musical. Stan finishes by asking Alec to evaluate the work of Frank Sinatra.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"McGlohon, Loonis, 1921-2002 (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,"Royal Garden Hotel, London, England, UK","McGlohon, Loonis, 1921-2002","Haymes, Dick, 1918-1980","Sinatra, Frank, 1915-1998",,,,,,,,
am     a,CKEY8214447,181023n                      000 0 eng u,C1645/7,,,Sarah Vaughan interviewed by Stan Britt,not after 2014,44 min. 48 sec.,a,,,Stan Britt collection,"Jazz singer Sarah Vaughan talks to Stan Britt about her career with her jazz trio. In particular, Vaughan reflects on the work and influence of Billie Holiday. She also discusses the age ranges of audiences at her concerts, believing that jazz is accessible to all.",,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Vaughan, Sarah, 1924-1990 (speaker, female; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,,POP,eng,,"Vaughan, Sarah, 1924-1990","Holiday, Billie, 1915-1959",,,,,,,,,
am     a,CKEY8214458,181023n                      000 0 eng u,C1645/8,,,L.A. Express interviewed by Stan Britt,not after 2014,1 hr. 16 min. 44 sec.,a,,,Stan Britt collection,"Jazz fusion band, L.A. express talk to Stan Britt about their past work and future plans. Among other things, the band reflect on their work with Joni Mitchell.",No date or location are given for this recording.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Scott, Tom, 1948- (speaker, male; interviewee)","Bennett, Max, 1928- (speaker, male; interviewee)","Ford, Robben (speaker, male; interviewee)","Guerin, John, 1939- (speaker, male; interviewee)","Mitchell, Joni, 1943- (speaker, male; interviewee)","Nash, Larry (speaker, male; interviewee)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,POP,eng,,"Scott, Tom, 1948-","Bennett, Max, 1928-","Ford, Robben","Guerin, John, 1939-","Mitchell, Joni, 1943-","Nash, Larry",,,,,
am     a,CKEY8215317,181023n                      000 0 eng u,C1645/9,,,"Lou Rawls (1st interview, 18/07/89)",18/07/1989,47 min. 27 sec.,a,,,Stan Britt collection,"Stan Britt interviews Lou Rawls (accompanied by an unidentified male speaker) about his career, influences and ambitions. Rawls discusses the overlap of his music into many different genres, as well as his collaborations with many artists including Dianne Reeves. He also talks about his 4 piece rhythm section and the relationships between members.",Interview is cut short.,,"Unlocking Our Sound Heritage (UOSH), funded by the National Lottery. British Library 2017-2022",RECORDING ,Interviews,,,,Category: Popular music. Jazz,,"Rawls, Lou, 1935-2006 (speaker, male; interviewee)","unidentified (speaker, male)","Britt, Stan, 1935-2014 (speaker, male; interviewer)","Britt, Stan, 1935-2014 (sound recordist)",,,,,,,,,,,,,,,,POP,eng,"EMI House, London, England, UK","Reeves, Dianne","Rawls, Lou, 1935-2006",,,,,,,,,
